Division,Area,ID,Name,Status,Date,Location
F,51,900001,Club 001,Active,6/27/2014,Location 001
B,12,900002,Club 002,Active,6/1/1999,Location 002
D,32,900003,Club 003,Active,10/1/2014,Location 003
D,34,900004,Club 004,Ineligible,10/1/1986,Location 004
A,3,900005,Club 005,Active,5/4/2007,Location 005
D,31,900006,Club 006,Active,2/1/1991,Location 006
C,21,900007,Club 007,Active,6/29/2016,Location 007
C,21,900008,Club 008,Active,6/1/1961,Location 008
E,42,900009,Club 009,Low,1/19/2006,Location 001
B,15,900010,Club 010,Active,6/1/1985,Location 009
B,14,900011,Club 011,Active,3/3/2003,Location 003
F,52,900012,Club 012,Active,1/7/2013,Location 001
C,22,900013,Club 013,Active,6/1/1951,Location 010
F,53,900014,Club 014,Active,2/11/2009,Location 001
F,52,900015,Club 015,Active,2/1/2021,Location 001
D,34,900016,Club 016,Active,6/24/2009,Location 011
F,52,900017,Club 017,Low,1/7/2002,Location 001
C,25,900018,Club 018,Active,9/27/2016,Location 012
D,33,900019,Club 019,Active,8/15/2011,Location 003
B,11,900020,Club 020,Low,4/1/1982,Location 013
E,41,900021,Club 021,Active,6/1/1990,Location 006
E,43,900022,Club 022,Active,3/1/1982,Location 001
A,3,900023,Club 023,Active,4/1/1954,Location 005
B,12,900024,Club 024,Active,3/30/2009,Location 014
D,32,900025,Club 025,Active,2/1/1997,Location 003
E,41,900026,Club 026,Ineligible,6/2/2016,Location 015
A,4,900027,Club 027,Active,3/29/2016,Location 016
C,22,900028,Club 028,Active,12/1/1976,Location 010
F,53,900029,Club 029,Active,9/1/1988,Location 001
E,44,900030,Club 030,Active,2/1/1999,Location 001
D,31,900031,Club 031,Active,2/22/2011,Location 017
B,11,900032,Club 032,Active,8/14/2003,Location 013
A,4,900033,Club 033,Active,3/1/1942,Location 005
C,24,900034,Club 034,Active,6/1/1983,Location 002
A,1,900035,Club 035,Active,9/1/1988,Location 018
F,51,900036,Club 036,Active,11/1/1941,Location 001
E,41,900037,Club 037,Low,5/1/1973,Location 019
C,25,900038,Club 038,Low,2/1/1984,Location 019
D,34,900039,Club 039,Active,6/25/2004,Location 020
C,21,900040,Club 040,Active,6/1/2008,Location 021
B,15,900041,Club 041,Active,6/1/1995,Location 003
A,2,900042,Club 042,Active,7/23/2020,Location 022
F,54,900043,Club 043,Low,3/1/1990,Location 001
E,45,900044,Club 044,Active,1/1/1955,Location 001
A,2,900045,Club 045,Low,9/30/2005,Location 023
E,42,900046,Club 046,Active,1/1/1950,Location 024
F,55,900047,Club 047,Low,5/1/1946,Location 001
D,31,900048,Club 048,Active,8/1/1980,Location 017
E,42,900049,Club 049,Active,4/9/2001,Location 024
F,53,900050,Club 050,Active,6/1/1998,Location 001
A,1,900051,Club 051,Active,2/1/1964,Location 018
D,34,900052,Club 052,Active,10/1/1990,Location 011
A,4,900053,Club 053,Active,4/21/2021,Location 005
C,22,900054,Club 054,Active,6/29/2013,Location 025
C,23,900055,Club 055,Low,10/1/1978,Location 026
C,24,900056,Club 056,Active,8/1/1985,Location 002
F,55,900057,Club 057,Active,5/1/1986,Location 001
C,22,900058,Club 058,Active,2/1/1981,Location 025
C,22,900059,Club 059,Active,2/20/2009,Location 006
C,24,900060,Club 060,Active,6/1/1997,Location 006
A,2,900061,Club 061,Active,2/1/1951,Location 027
D,31,900062,Club 062,Active,9/1/1955,Location 017
C,25,900063,Club 063,Active,4/1/2014,Location 019
E,44,900064,Club 064,Active,9/1/1997,Location 001
B,14,900065,Club 065,Active,4/1/2011,Location 003
E,43,900066,Club 066,Active,6/2/2021,Location 024
F,55,900067,Club 067,Active,6/1/1989,Location 001
C,23,900068,Club 068,Active,6/27/2017,Location 028
E,41,900069,Club 069,Active,1/1/1996,Location 015
F,52,900070,Club 070,Active,9/1/1992,Location 001
A,4,900071,Club 071,Active,2/10/2003,Location 029
F,52,900072,Club 072,Active,2/1/1993,Location 001
F,53,900073,Club 073,Active,1/1/1979,Location 001
C,25,900074,Club 074,Active,12/26/2001,Location 030
E,42,900075,Club 075,Active,4/1/1977,Location 024
E,45,900076,Club 076,Active,5/14/2020,Location 001
D,33,900077,Club 077,Active,10/1/1967,Location 031
E,43,900078,Club 078,Ineligible,4/29/2015,Location 001
B,13,900079,Club 079,Active,6/25/2007,Location 032
D,32,900080,Club 080,Active,12/6/2001,Location 006
F,53,900081,Club 081,Active,6/1/1997,Location 001
D,32,900082,Club 082,Active,10/29/2013,Location 006
A,1,900083,Club 083,Ineligible,5/7/2014,Location 018
D,31,900084,Club 084,Active,3/1/1968,Location 033
D,34,900085,Club 085,Active,3/1/1991,Location 031
F,51,900086,Club 086,Active,4/1/1968,Location 001
B,14,900087,Club 087,,10/31/2016,Location 032
D,31,900088,Club 088,Low,1/1/1989,Location 017
F,54,900089,Club 089,Active,1/16/2019,Location 001
F,55,900090,Club 090,Active,3/18/2002,Location 001
C,23,900091,Club 091,Active,3/22/2016,Location 026
E,43,900092,Club 092,Low,8/1/1994,Location 024
B,13,900093,Club 093,Active,7/1/1986,Location 032
F,54,900094,Club 094,,4/1/1979,Location 001
B,14,900095,Club 095,Ineligible,9/29/2004,Location 032
E,43,900096,Club 096,Active,12/3/2014,Location 001
B,15,900097,Club 097,Active,5/1/1978,Location 003
B,15,900098,Club 098,Active,9/30/2005,Location 003
B,15,900099,Club 099,Active,6/26/2015,Location 034
E,44,900100,Club 100,Active,4/1/1962,Location 001
A,1,900101,Club 101,Active,5/1/1994,Location 035
E,41,900102,Club 102,Active,6/1/1940,Location 015
D,32,900103,Club 103,Active,3/1/1986,Location 031
E,45,900104,Club 104,Active,12/18/2007,Location 001
F,51,900105,Club 105,Active,3/1/1985,Location 001
E,45,900106,Club 106,Active,6/24/2009,Location 001
E,44,900107,Club 107,Active,4/1/1946,Location 001
B,13,900108,Club 108,Active,6/1/1989,Location 032
E,45,900109,Club 109,Active,2/7/2007,Location 001
A,4,900110,Club 110,Low,8/10/2012,Location 005
