Month,Charter,Years,Area,Club,Clubname,City,Membase,Memtdate,Goals,Meetday,Meetfreq,Meettime,Awards,DCPHistory,DCPReport,Clubinfo
Feb,2/1/1964,62,A 01,900051,Club 051,Location 018,20,17,9,Tue,W1,19:00,900051,900051,900051,900051
Sep,9/1/1988,37,A 01,900035,Club 035,Location 018,13,8,6,Wed,W1,19:30,900035,900035,900035,900035
May,5/1/1994,32,A 01,900101,Club 101,Location 018,10,11,6,Tue,M2,19:00,900101,900101,900101,900101
Jul,7/23/2020,5,A 01,900042,Club 042,Location 036,9,10,6,Mon,M2,12:00,900042,900042,900042,900042
Mar,3/1/1942,84,A 02,900033,Club 033,Location 005,9,5,0,Wed,W1,7:00,900033,900033,900033,900033
Apr,4/1/1954,72,A 02,900023,Club 023,Location 005,11,11,5,Thu,W1,18:30,900023,900023,900023,900023
May,5/4/2007,19,A 02,900005,Club 005,Location 005,27,32,6,Wed,W1,12:00,900005,900005,900005,900005
Jul,7/1/2022,3,A 02,900111,Club 111,Location 037,21,15,4,Sat,M1,8:00,900111,900111,900111,900111
Feb,2/1/1951,75,A 03,900061,Club 061,Location 027,20,11,8,Fri,W1,7:30,900061,900061,900061,900061
Feb,2/10/2003,23,A 03,900071,Club 071,Location 029,12,9,6,Tue,W1,7:00,900071,900071,900071,900071
Sep,9/30/2005,20,A 03,900045,Club 045,Location 023,8,8,3,Tue,M2,18:30,900045,900045,900045,900045
Mar,3/29/2016,10,A 03,900027,Club 027,Location 016,22,18,5,Mon,W1,13:30,900027,900027,900027,900027
Jun,6/1/1961,65,A 04,900008,Club 008,Location 008,27,25,9,Wed,W1,19:00,900008,900008,900008,900008
Apr,4/1/1982,44,A 04,900020,Club 020,Location 013,10,8,4,Sat,W1,8:30,900020,900020,900020,900020
Jan,1/1/1996,30,A 04,900069,Club 069,Location 038,12,8,7,Sat,W1,11:00,900069,900069,900069,900069
Mar,3/30/2009,17,A 04,900024,Club 024,Location 014,20,16,7,Thu,W1,12:00,900024,900024,900024,900024
Sep,9/27/2016,9,A 04,900018,Club 018,Location 039,16,11,5,Thu,M2,12:00,900018,900018,900018,900018
Apr,4/1/1977,49,B 11,900075,Club 075,Location 012,9,10,5,Wed,W1,12:00,900075,900075,900075,900075
Jun,6/1/1997,29,B 11,900060,Club 060,Location 006,11,8,2,Thu,M1,18:30,900060,900060,900060,900060
Feb,2/20/2009,17,B 11,900059,Club 059,Location 039,19,12,1,Wed,W1,12:00,900059,900059,900059,900059
Jun,6/29/2016,10,B 11,900007,Club 007,Location 032,23,15,2,Tue,W1,12:00,900007,900007,900007,900007
Jun,6/28/2024,2,B 11,900112,Club 112,Location 040,33,33,1,Tue,W2,7:30,900112,900112,900112,900112
Mar,3/1/1968,58,B 12,900084,Club 084,Location 028,20,13,6,Sat,W1,7:45,900084,900084,900084,900084
Aug,8/14/2003,22,B 12,900032,Club 032,Location 013,16,10,5,Tue,M2,12:00,900032,900032,900032,900032
Jun,6/25/2007,19,B 12,900079,Club 079,Location 032,12,12,2,Thu,M1,18:30,900079,900079,900079,900079
Mar,3/22/2016,10,B 12,900091,Club 091,Location 026,16,13,6,Thu,W1,18:30,900091,900091,900091,900091
Jun,6/1/1999,27,B 13,900002,Club 002,Location 002,11,9,7,Sat,W1,8:30,900002,900002,900002,900002
Jun,6/1/1983,43,B 13,900034,Club 034,Location 002,11,10,4,Thu,W1,18:30,900034,900034,900034,900034
Aug,8/1/1985,40,B 13,900056,Club 056,Location 002,12,9,7,Mon,M2,18:00,900056,900056,900056,900056
Mar,3/3/2003,23,B 13,900011,Club 011,Location 003,10,0,1,Wed,W1,12:00,900011,900011,900011,900011
Jun,6/8/2010,16,B 13,900113,Club 113,Location 002,17,19,3,Wed,M2,12:00,900113,900113,900113,900113
Jun,6/1/1951,75,B 14,900013,Club 013,Location 010,15,11,2,Mon,W1,18:00,900013,900013,900013,900013
Feb,2/1/1981,45,B 14,900058,Club 058,Location 025,13,7,0,Thu,W1,12:00,900058,900058,900058,900058
Jun,6/29/2013,13,B 14,900054,Club 054,Location 025,13,13,4,Wed,W1,7:30,900054,900054,900054,900054
Jun,6/27/2017,9,B 14,900068,Club 068,Location 028,20,20,9,Tue,M1,18:30,900068,900068,900068,900068
Jun,6/1/1940,86,C 21,900102,Club 102,Location 015,20,13,5,Mon,W1,18:30,900102,900102,900102,900102
Apr,4/1/1946,80,C 21,900107,Club 107,Location 001,20,13,7,Mon,W1,18:15,900107,900107,900107,900107
Jun,6/1/2008,18,C 21,900040,Club 040,Location 041,11,10,5,Tue,M2,18:30,900040,900040,900040,900040
Jun,6/2/2021,5,C 21,900066,Club 066,Location 042,10,8,4,Wed,M2,19:00,900066,900066,900066,900066
Jan,1/1/1950,76,C 22,900046,Club 046,Location 024,8,8,0,Wed,W1,18:15,900046,900046,900046,900046
Dec,12/26/2001,24,C 22,900074,Club 074,Location 030,20,21,8,Tue,M2,12:05,900074,900074,900074,900074
Jun,6/24/2009,17,C 22,900106,Club 106,Location 001,16,11,5,Sat,M2,10:30,900106,900106,900106,900106
Apr,4/1/2014,12,C 22,900063,Club 063,Location 019,12,11,3,Tue,W1,11:30,900063,900063,900063,900063
Dec,12/1/1976,49,C 23,900028,Club 028,Location 024,14,9,5,Mon,M2,18:00,900028,900028,900028,900028
Apr,4/9/2001,25,C 23,900049,Club 049,Location 024,25,25,10,Thu,M2,18:45,900049,900049,900049,900049
Jan,1/1/1955,71,C 23,900044,Club 044,Location 001,10,11,2,Thu,W1,18:30,900044,900044,900044,900044
Jan,1/19/2006,20,C 23,900009,Club 009,Location 043,12,10,3,Wed,W2,12:00,900009,900009,900009,900009
May,5/14/2020,6,C 23,900076,Club 076,Location 001,8,9,0,Tue,M2,13:00,900076,900076,900076,900076
Apr,4/1/1968,58,C 24,900086,Club 086,Location 001,10,8,5,Thu,M2,18:00,900086,900086,900086,900086
Mar,3/1/1982,44,C 24,900022,Club 022,Location 001,8,10,1,Thu,W1,11:30,900022,900022,900022,900022
May,5/1/1973,53,C 24,900037,Club 037,Location 019,9,4,2,Thu,M2,18:30,900037,900037,900037,900037
Feb,2/1/1999,27,C 24,900030,Club 030,Location 001,14,8,6,Mon,M2,18:30,900030,900030,900030,900030
Sep,9/1/1997,28,C 24,900064,Club 064,Location 001,11,8,4,Fri,M1,18:30,900064,900064,900064,900064
Dec,12/3/2014,11,C 24,900096,Club 096,Location 001,10,14,6,Tue,W1,17:00,900096,900096,900096,900096
Dec,12/6/2001,24,D 31,900080,Club 080,Location 006,12,11,0,Wed,M2,12:15,900080,900080,900080,900080
Jan,1/1/1989,37,D 31,900088,Club 088,Location 017,9,8,3,Mon,W1,12:05,900088,900088,900088,900088
Feb,2/1/1991,35,D 31,900006,Club 006,Location 006,27,21,9,Wed,M2,12:00,900006,900006,900006,900006
Feb,2/1/1997,29,D 31,900025,Club 025,Location 003,12,11,7,Tue,W1,12:15,900025,900025,900025,900025
Feb,2/22/2011,15,D 31,900031,Club 031,Location 017,10,9,4,Thu,W1,12:00,900031,900031,900031,900031
Oct,10/1/1967,58,D 32,900077,Club 077,Location 031,10,6,0,Wed,M2,18:00,900077,900077,900077,900077
Sep,9/1/1955,70,D 32,900062,Club 062,Location 017,25,29,5,Tue,M2,12:00,900062,900062,900062,900062
Aug,8/1/1980,45,D 32,900048,Club 048,Location 017,17,18,4,Fri,W1,7:15,900048,900048,900048,900048
Mar,3/1/1986,40,D 32,900103,Club 103,Location 044,12,15,3,Fri,W1,7:15,900103,900103,900103,900103
Jun,6/1/1989,37,D 32,900108,Club 108,Location 003,14,10,2,Tue,W1,18:30,900108,900108,900108,900108
Oct,10/1/1990,35,D 33,900052,Club 052,Location 011,9,8,2,Wed,M2,12:00,900052,900052,900052,900052
